Security Id,State,Market Cap
ABB,Karnataka,162159.71
AEGISLOG,Gujarat,29840.27
AREandM,Andhra Pradesh,28304.87
BOMDYEING,Maharashtra,4285.60
ATUL,Gujarat,20603.34
BAJAJELEC,Maharashtra,11511.77
BAJAJHIND,Uttar Pradesh,5053.24
FORCEMOT,Maharashtra,10676.68
BAJFINANCE,Maharashtra,431613.75
BALRAMCHIN,West Bengal,9018.57
CENTURYTEX,Maharashtra,24680.84
BASF,Maharashtra,23276.64
BATAINDIA,West Bengal,19600.45
BEML,Karnataka,19448.40
BEL,Karnataka,225068.09
BLUESTARCO,Maharashtra,33774.29
CESC,West Bengal,22468.42
CHAMBLFERT,Rajasthan,19964.50
EXIDEIND,West Bengal,46690.50
CIPLA,Maharashtra,120324.22
CRISIL,Maharashtra,31424.97
CGPOWER,Maharashtra,100105.95
DABUR,NCT of Delhi,113153.22
ARVIND,Gujarat,9774.51
BHEL,NCT of Delhi,103330.23
HINDPETRO,Maharashtra,73760.97
IFCI,NCT of Delhi,18104.35
MRPL,Karnataka,37882.42
CHENNPETRO,Tamil Nadu,15663.99
SBIN,Maharashtra,796075.38
SAIL,NCT of Delhi,59039.67
TITAN,Tamil Nadu,289462.68
IDBI,Maharashtra,97427.52
DHAMPURSUG,Uttar Pradesh,1441.47
DRREDDY,Telangana,111520.44
EIDPARRY,Tamil Nadu,13655.54
PGHL,Maharashtra,8533.74
ELECTCAST,Odisha,11380.74
ESABINDIA,Tamil Nadu,10025.17
EPL,Maharashtra,7075.97
FINCABLES,Maharashtra,23292.66
UFLEX,NCT of Delhi,3868.01
GODFRYPHLP,Maharashtra,21825.49
GODREJIND,Maharashtra,29802.18
KANSAINER,Maharashtra,21975.80
GHCL,Gujarat,5047.71
HDFCBANK,Maharashtra,1222853.50
HEROMOTOCO,NCT of Delhi,108092.75
HFCL,Himachal Pradesh,16619.59
HSCL,West Bengal,19792.42
HCC,Maharashtra,7741.71
HINDOILEXP,Gujarat,3179.13
AGI,West Bengal,5046.40
HINDZINC,Rajasthan,274117.57
INFY,Karnataka,753406.33
INGERRAND,Karnataka,13085.09
IONEXCHANG,Maharashtra,9116.80
JISLJALEQS,Maharashtra,4655.59
JSWSTEEL,Maharashtra,220213.13
KAJARIACER,Haryana,21984.02
WHIRLPOOL,Maharashtra,25576.09
KIRLOSBROS,Maharashtra,17258.74
KIRLFER,Maharashtra,10176.38
KOTAKBANK,Maharashtra,361807.14
KSB,Maharashtra,16818.63
LGBBROSLTD,Tamil Nadu,4458.51
TRENT,Maharashtra,184497.99
LAXMIMACH,Tamil Nadu,16592.52
LICHSGFIN,Maharashtra,43080.93
LUPIN,Maharashtra,81842.34
RAMCOCEM,Tamil Nadu,18380.00
