Security Id,Security Name,Sector Name,Market Cap,State
ABB,ABB India Limited,Industrials,162159.71,Karnataka
AEGISLOG,AEGIS LOGISTICS LTD.,Energy,29840.27,Gujarat
ARE&M,Amara Raja Energy & Mobility Ltd,Consumer Discretionary,28304.87,Andhra Pradesh
BOMDYEING,BOMBAY DYEING & MFG.CO.LTD.,Consumer Discretionary,4285.60,Maharashtra
ATUL,ATUL LTD.,Commodities,20603.34,Gujarat
BAJAJELEC,BAJAJ ELECTRICALS LTD.-$,Consumer Discretionary,11511.77,Maharashtra
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,5053.24,Uttar Pradesh
FORCEMOT,FORCE MOTORS LTD.-$,Consumer Discretionary,10676.68,Maharashtra
BAJFINANCE,Bajaj Finance Limited,Financial Services,431613.75,Maharashtra
BALRAMCHIN,BALRAMPUR CHINI MILLS LTD.,Fast Moving Consumer Goods,9018.57,West Bengal
CENTURYTEX,CENTURY TEXTILES & INDUSTRIES LTD.,Commodities,24680.84,Maharashtra
BASF,BASF INDIA LTD.,Commodities,23276.64,Maharashtra
BATAINDIA,BATA INDIA LTD.,Consumer Discretionary,19600.45,West Bengal
BEML,BEML LTD.,Industrials,19448.40,Karnataka
BEL,BHARAT ELECTRONICS LTD.,Industrials,225068.09,Karnataka
BLUESTARCO,BLUE STAR LTD.,Consumer Discretionary,33774.29,Maharashtra
CESC,CESC LTD.,Utilities,22468.42,West Bengal
CHAMBLFERT,CHAMBAL FERTILISERS & CHEMICALS LTD.,Commodities,19964.50,Rajasthan
EXIDEIND,EXIDE INDUSTRIES LTD.,Consumer Discretionary,46690.50,West Bengal
CIPLA,CIPLA LTD.,Healthcare,120324.22,Maharashtra
CRISIL,CRISIL LTD.,Financial Services,31424.97,Maharashtra
CGPOWER,CG Power and Industrial Solutions Ltd,Industrials,100105.95,Maharashtra
DABUR,DABUR INDIA LTD.,Fast Moving Consumer Goods,113153.22,NCT of Delhi
ARVIND,ARVIND LTD.,Consumer Discretionary,9774.51,Gujarat
BHEL,BHARAT HEAVY ELECTRICALS LTD.,Industrials,103330.23,NCT of Delhi
HINDPETRO,HINDUSTAN PETROLEUM CORPORATION LTD.,Energy,73760.97,Maharashtra
IFCI,IFCI LTD.,Financial Services,18104.35,NCT of Delhi
MRPL,MANGALORE REFINERY & PETROCHEMICALS LTD.,Energy,37882.42,Karnataka
CHENNPETRO,CHENNAI PETROLEUM CORPORATION LTD.,Energy,15663.99,Tamil Nadu
SBIN,STATE BANK OF INDIA,Financial Services,796075.38,Maharashtra
SAIL,STEEL AUTHORITY OF INDIA LTD.,Commodities,59039.67,NCT of Delhi
TITAN,Titan Company Limited,Consumer Discretionary,289462.68,Tamil Nadu
IDBI,IDBI BANK LTD.,Financial Services,97427.52,Maharashtra
DHAMPURSUG,DHAMPUR SUGAR MILLS LTD.,Fast Moving Consumer Goods,1441.47,Uttar Pradesh
DRREDDY,DR.REDDY'S LABORATORIES LTD.,Healthcare,111520.44,Telangana
EIDPARRY,E.I.D.-PARRY (INDIA) LTD.,Commodities,13655.54,Tamil Nadu
PGHL,Procter & Gamble Health Ltd,Healthcare,8533.74,Maharashtra
ELECTCAST,ELECTROSTEEL CASTINGS LTD.,Industrials,11380.74,Odisha
ESABINDIA,ESAB INDIA LTD.,Industrials,10025.17,Tamil Nadu
EPL,EPL Ltd,Industrials,7075.97,Maharashtra
FINCABLES,FINOLEX CABLES LTD.,Industrials,23292.66,Maharashtra
UFLEX,UFLEX LTD.,Industrials,3868.01,NCT of Delhi
GODFRYPHLP,GODFREY PHILLIPS INDIA LTD.,Fast Moving Consumer Goods,21825.49,Maharashtra
GODREJIND,GODREJ INDUSTRIES LTD.,Diversified,29802.18,Maharashtra
KANSAINER,KANSAI NEROLAC PAINTS LTD.,Consumer Discretionary,21975.80,Maharashtra
GHCL,GHCL LTD.,Commodities,5047.71,Gujarat
HDFCBANK,HDFC Bank Ltd,Financial Services,1222853.50,Maharashtra
HEROMOTOCO,HERO MOTOCORP LTD.,Consumer Discretionary,108092.75,NCT of Delhi
HFCL,HFCL Ltd,Telecommunication,16619.59,Himachal Pradesh
HSCL,Himadri Speciality Chemical Ltd,Commodities,19792.42,West Bengal
HCC,HINDUSTAN CONSTRUCTION CO.LTD.,Industrials,7741.71,Maharashtra
HINDOILEXP,HINDUSTAN OIL EXPLORATION CO.LTD.,Energy,3179.13,Gujarat
AGI,Agi Greenpac Ltd,Industrials,5046.40,West Bengal
HINDZINC,HINDUSTAN ZINC LTD.,Commodities,274117.57,Rajasthan
INFY,INFOSYS LTD.,Information Technology,753406.33,Karnataka
INGERRAND,INGERSOLL-RAND (INDIA) LTD.,Industrials,13085.09,Karnataka
IONEXCHANG,ION EXCHANGE (INDIA) LTD.-$,Utilities,9116.80,Maharashtra
